,Country,Income,Country Code,Cost of a healthy diet [CoHD],Income/Minute,Required Time,Required Time Log
0,AL,12300.0,ALB,4.28,0.023401826484018264,182.89170731707318,5.208894214385735
1,DZ,13639.0,DZA,3.76,0.02594939117199391,144.8974264975438,4.976026088627465
2,AO,5555.0,AGO,4.585,0.010568873668188736,433.8210621062106,6.0726321497872355
3,AG,22201.0,ATG,4.504,0.04223934550989346,106.63044007026708,4.669369025099009
4,AM,9277.0,ARM,3.247,0.017650304414003046,183.96283281233156,5.214733741619975
5,AU,44097.0,AUS,2.389,0.08389840182648402,28.474916660997344,3.349023582586113
6,AT,46231.0,AUT,3.004,0.08795852359208524,34.152460470247235,3.530834632330544
7,AZ,15240.0,AZE,2.533,0.02899543378995434,87.35858267716534,4.470021287931439
8,BS,28395.0,BHS,4.488,0.05402397260273972,83.07423137876388,4.4197345620614
9,BH,40399.0,BHR,3.835,0.07686263318112634,49.89420530211144,3.909904869804111
10,BD,4057.0,BGD,3.064,0.0077187975646879755,396.95301947251664,5.983817934824436
11,BY,17039.0,BLR,3.31,0.03241818873668189,102.10317506895944,4.62598382232627
12,BE,43821.0,BEL,3.159,0.08337328767123288,37.889833641404806,3.6346828344535655
13,BZ,7136.0,BLZ,2.632,0.013576864535768646,193.8591928251121,5.2671320853557635
14,BJ,2135.0,BEN,3.707,0.004062024353120243,912.5991569086651,6.816296744658408
15,BT,8609.0,BTN,5.02,0.01637937595129376,306.48298292484606,5.725162233198221
16,BO,6849.0,BOL,3.755,0.01303082191780822,288.1629434954008,5.663526096170731
17,BA,12690.0,BIH,3.961,0.024143835616438358,164.05843971631205,5.100222704083884
18,BW,15951.0,BWA,3.701,0.030348173515981736,121.95132593567801,4.803621997384108
19,BR,14068.0,BRA,3.084,0.02676560121765601,115.2225191924936,4.746865208259748
20,BN,76389.0,BRN,4.405,0.1453367579908676,30.3089188233908,3.41144201980964
21,BG,19646.0,BGR,4.129,0.037378234398782344,110.46535681563677,4.704701958821676
22,BF,1705.0,BFA,3.345,0.0032439117199391174,1031.1624633431086,6.938442050015112
23,BI,660.0,BDI,2.943,0.0012557077625570776,2343.698181818182,7.759485380383403
24,CV,6513.0,CPV,3.563,0.012391552511415525,287.5345923537541,5.6613431742298355
25,KH,3597.0,KHM,3.888,0.006843607305936073,568.121434528774,6.342335189055107
26,CM,3291.0,CMR,2.808,0.0062614155251141555,448.46089334548765,6.105821483372763
27,CA,43602.0,CAN,3.017,0.08295662100456622,36.36840511903123,3.593700406484771
28,TD,1716.0,TCD,2.827,0.003264840182648402,865.8923076923077,6.763760544816083
29,CL,21972.0,CHL,3.349,0.04180365296803653,80.11261605679957,4.383433345502095
30,CN,16127.0,CHN,2.983,0.03068302891933029,97.21986730328021,4.576975086704634
31,CO,12896.0,COL,3.08,0.024535768645357687,125.53101736972705,4.832552878391612
32,CG,5804.0,COD,2.242,0.011042617960426179,203.0315644383184,5.313361456798428
33,CD,5804.0,COG,3.421,0.011042617960426179,309.79972432804965,5.735926038143927
34,CR,14790.0,CRI,3.889,0.028139269406392695,138.20543610547665,4.9287412456213024
35,HR,23061.0,HRV,4.301,0.04387557077625571,98.02721477819696,4.585245141936896
